suite,run_dir,scenario,comparison,condition_a,condition_b,metric,n_pairs,wilcoxon_stat,p_value,rank_biserial_corr,mean_diff_a_minus_b,median_diff_a_minus_b,method,p_value_holm,significant_0p05_holm
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.18144514048762314,-0.058446648900951866,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,collision_recovery_time_mean_steps,50.0,0.0,1.7763568394002505e-15,-1.0,-23.398968992960782,-24.076595797590006,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0029680392907377447,0.002982206897879588,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,final_step_rmse,50.0,472.0,0.11171837302823029,0.2596078431372549,0.002864253595471382,0.00037700263783335686,scipy,0.33515511908469087,false
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,1.0,0.03041029361399187,0.030101514428093945,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,collision_recovery_time_mean_steps,50.0,0.0,1.7763568394002505e-15,1.0,4.127937450731719,4.00462962962963,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0005369469196092693,0.0005392097250178276,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,final_step_rmse,50.0,266.0,0.00021178724761483636,0.5827450980392157,0.0008011440560221672,0.0006899307481944561,scipy,0.0024161542470917396,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p05_b0p1_g0_vs_baseline,noise_a0p05_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0006004540548366373,0.0006022268841928977,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p05_b0p1_g0_vs_baseline,noise_a0p05_b0p1_g0,baseline,final_step_rmse,50.0,307.0,0.0011051033525024678,0.5184313725490196,0.0009865488088689745,0.0006093108095228672,scipy,0.005525516762512339,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p05_b0p1_g0p6_vs_baseline,noise_a0p05_b0p1_g0p6,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0005750133131786889,0.0005598200107411683,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p05_b0p1_g0p6_vs_baseline,noise_a0p05_b0p1_g0p6,baseline,final_step_rmse,50.0,329.0,0.0024399375469918994,0.483921568627451,0.0007013401482254267,0.0005954523803666234,scipy,0.009759750187967597,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p1_b0p1_g0_vs_baseline,noise_a0p1_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0007071009508709844,0.0007157787420394926,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p1_b0p1_g0_vs_baseline,noise_a0p1_b0p1_g0,baseline,final_step_rmse,50.0,221.0,2.5552926345540072e-05,0.6533333333333333,0.0010179402003996074,0.0010262469295412302,scipy,0.00043439974787418123,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p1_b0p1_g0p6_vs_baseline,noise_a0p1_b0p1_g0p6,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0006996930724330126,0.0007043992983414684,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p1_b0p1_g0p6_vs_baseline,noise_a0p1_b0p1_g0p6,baseline,final_step_rmse,50.0,275.0,0.0003107899432901462,0.5686274509803921,0.0007719724997878075,0.0006029922515153885,scipy,0.0024161542470917396,true
